index,raw_value,sorted_value,exact,mse,count_sketch_ms,exact_f2_ms,counter_bitwidth
42,11043332,11149532,11184812,66618588121.6,869452.9652,14386.4247,12
43,10998348,11154452,11184812,66618588121.6,869452.9652,14386.4247,12
44,11115828,11161148,11184812,66618588121.6,869452.9652,14386.4247,12
45,10998916,11165812,11184812,66618588121.6,869452.9652,14386.4247,12
46,11130364,11169524,11184812,66618588121.6,869452.9652,14386.4247,12
47,11487164,11174908,11184812,66618588121.6,869452.9652,14386.4247,12
48,10811764,11187508,11184812,66618588121.6,869452.9652,14386.4247,12
49,11425620,11194444,11184812,66618588121.6,869452.9652,14386.4247,12
50,10768500,11196044,11184812,66618588121.6,869452.9652,14386.4247,12
51,10853404,11201588,11184812,66618588121.6,869452.9652,14386.4247,12
52,11486500,11204188,11184812,66618588121.6,869452.9652,14386.4247,12
53,11317020,11204444,11184812,66618588121.6,869452.9652,14386.4247,12
54,11092940,11218044,11184812,66618588121.6,869452.9652,14386.4247,12
55,11497172,11220540,11184812,66618588121.6,869452.9652,14386.4247,12
56,11220540,11233260,11184812,66618588121.6,869452.9652,14386.4247,12
57,11253748,11239572,11184812,66618588121.6,869452.9652,14386.4247,12
58,11392884,11253748,11184812,66618588121.6,869452.9652,14386.4247,12
59,10983420,11264228,11184812,66618588121.6,869452.9652,14386.4247,12
60,10937716,11273908,11184812,66618588121.6,869452.9652,14386.4247,12
61,11264228,11281020,11184812,66618588121.6,869452.9652,14386.4247,12
62,11570028,11294172,11184812,66618588121.6,869452.9652,14386.4247,12
63,11473828,11294836,11184812,66618588121.6,869452.9652,14386.4247,12
64,11037588,11300556,11184812,66618588121.6,869452.9652,14386.4247,12
65,11113476,11313132,11184812,66618588121.6,869452.9652,14386.4247,12
66,11096196,11313676,11184812,66618588121.6,869452.9652,14386.4247,12
67,11045308,11317020,11184812,66618588121.6,869452.9652,14386.4247,12
68,11204188,11326228,11184812,66618588121.6,869452.9652,14386.4247,12
69,11761284,11333860,11184812,66618588121.6,869452.9652,14386.4247,12
70,11031628,11335764,11184812,66618588121.6,869452.9652,14386.4247,12
71,11233260,11336148,11184812,66618588121.6,869452.9652,14386.4247,12
72,11092412,11338852,11184812,66618588121.6,869452.9652,14386.4247,12
73,10900188,11357532,11184812,66618588121.6,869452.9652,14386.4247,12
74,11142764,11362572,11184812,66618588121.6,869452.9652,14386.4247,12
75,10651060,11379244,11184812,66618588121.6,869452.9652,14386.4247,12
76,11149532,11392884,11184812,66618588121.6,869452.9652,14386.4247,12
77,11294836,11425620,11184812,66618588121.6,869452.9652,14386.4247,12
78,10673116,11433940,11184812,66618588121.6,869452.9652,14386.4247,12
79,11333860,11438908,11184812,66618588121.6,869452.9652,14386.4247,12
80,11187508,11440332,11184812,66618588121.6,869452.9652,14386.4247,12
81,11174908,11459308,11184812,66618588121.6,869452.9652,14386.4247,12
82,11538484,11471892,11184812,66618588121.6,869452.9652,14386.4247,12
83,11154452,11473828,11184812,66618588121.6,869452.9652,14386.4247,12
84,11379244,11479308,11184812,66618588121.6,869452.9652,14386.4247,12
85,11204444,11483556,11184812,66618588121.6,869452.9652,14386.4247,12
86,11438908,11486500,11184812,66618588121.6,869452.9652,14386.4247,12
87,11625516,11487164,11184812,66618588121.6,869452.9652,14386.4247,12
88,11201588,11497172,11184812,66618588121.6,869452.9652,14386.4247,12
89,11273908,11499284,11184812,66618588121.6,869452.9652,14386.4247,12
90,11294172,11538484,11184812,66618588121.6,869452.9652,14386.4247,12
91,11014332,11559124,11184812,66618588121.6,869452.9652,14386.4247,12
